"Kurs";"Tag";"Std";"Woche";"Raum";"Lehrer"
"VM-VTF2";2;7;2;"--";"--"
"VM-VTF2";2;7;3;"--";"--"
"VM-VTF2";3;4;2;"--";"--"
"VM-VTF2";3;4;3;"--";"--"
"VM-VTF2";3;5;2;"--";"--"
"VM-VTF2";3;5;3;"--";"--"
"VM-VTF1";2;5;2;"--";"--"
"VM-VTF1";2;5;3;"--";"--"
"VM-VTF1";2;6;2;"--";"--"
"VM-VTF1";2;6;3;"--";"--"
"VM-VTF1";5;5;2;"--";"--"
"VM-VTF1";5;5;3;"--";"--"
"VE-VTF1";1;4;2;"--";"--"
"VE-VTF1";1;4;3;"--";"--"
"VE-VTF1";1;5;2;"--";"--"
"VE-VTF1";1;5;3;"--";"--"
"VE-VTF1";3;1;2;"--";"--"
"VE-VTF1";3;1;3;"--";"--"
"SP-GK5";1;9;2;"--";"--"
"SP-GK5";1;9;3;"--";"--"
"SP-GK5";3;6;2;"--";"--"
"SP-GK5";3;6;3;"--";"--"
"SP-GK5";3;7;2;"--";"--"
"SP-GK5";3;7;3;"--";"--"
"SP-GK4";1;7;2;"--";"--"
"SP-GK4";1;7;3;"--";"--"
"SP-GK4";4;1;2;"--";"--"
"SP-GK4";4;1;3;"--";"--"
"SP-GK4";4;2;2;"--";"--"
"SP-GK4";4;2;3;"--";"--"
"SP-GK3";1;4;2;"--";"--"
"SP-GK3";1;4;3;"--";"--"
"SP-GK3";1;5;2;"--";"--"
"SP-GK3";1;5;3;"--";"--"
"SP-GK3";3;1;2;"--";"--"
"SP-GK3";3;1;3;"--";"--"
"SP-GK2";2;1;2;"--";"--"
"SP-GK2";2;1;3;"--";"--"
"SP-GK2";5;3;2;"--";"--"
"SP-GK2";5;3;3;"--";"--"
"SP-GK2";5;4;2;"--";"--"
"SP-GK2";5;4;3;"--";"--"
"SP-GK1";2;7;2;"--";"--"
"SP-GK1";2;7;3;"--";"--"
"SP-GK1";3;4;2;"--";"--"
"SP-GK1";3;4;3;"--";"--"
"SP-GK1";3;5;2;"--";"--"
"SP-GK1";3;5;3;"--";"--"
"KR-GK1";1;2;2;"--";"--"
"KR-GK1";1;2;3;"--";"--"
"KR-GK1";1;3;2;"--";"--"
"KR-GK1";1;3;3;"--";"--"
"KR-GK1";1;4;2;"--";"--"
"KR-GK1";1;4;3;"--";"--"
"KR-GK1";3;1;2;"--";"--"
"KR-GK1";3;1;3;"--";"--"
"KR-GK1";3;2;2;"--";"--"
"KR-GK1";3;2;3;"--";"--"
"KR-GK1";5;6;2;"--";"--"
"KR-GK1";5;6;3;"--";"--"
"ER-GK2";1;1;2;"--";"--"
"ER-GK2";1;1;3;"--";"--"
"ER-GK2";2;2;2;"--";"--"
"ER-GK2";2;2;3;"--";"--"
"ER-GK2";2;3;2;"--";"--"
"ER-GK2";2;3;3;"--";"--"
"ER-GK1";2;1;2;"--";"--"
"ER-GK1";2;1;3;"--";"--"
"ER-GK1";5;3;2;"--";"--"
"ER-GK1";5;3;3;"--";"--"
"ER-GK1";5;4;2;"--";"--"
"ER-GK1";5;4;3;"--";"--"
"IF-GK2";2;7;2;"--";"--"
"IF-GK2";2;7;3;"--";"--"
"IF-GK2";3;4;2;"--";"--"
"IF-GK2";3;4;3;"--";"--"
"IF-GK2";3;5;2;"--";"--"
"IF-GK2";3;5;3;"--";"--"
"IF-GK1";1;8;2;"--";"--"
"IF-GK1";1;8;3;"--";"--"
"IF-GK1";4;5;2;"--";"--"
"IF-GK1";4;5;3;"--";"--"
"IF-GK1";4;6;2;"--";"--"
"IF-GK1";4;6;3;"--";"--"
"PH-GK2";4;3;2;"--";"--"
"PH-GK2";4;3;3;"--";"--"
"PH-GK2";4;4;2;"--";"--"
"PH-GK2";4;4;3;"--";"--"
"PH-GK2";5;7;2;"--";"--"
"PH-GK2";5;7;3;"--";"--"
"PH-GK1";1;6;2;"--";"--"
"PH-GK1";1;6;3;"--";"--"
"PH-GK1";3;2;2;"--";"--"
"PH-GK1";3;2;3;"--";"--"
"PH-GK1";3;3;2;"--";"--"
"PH-GK1";3;3;3;"--";"--"
"CH-GK3";1;1;2;"--";"--"
"CH-GK3";1;1;3;"--";"--"
"CH-GK3";2;2;2;"--";"--"
"CH-GK3";2;2;3;"--";"--"
"CH-GK3";2;3;2;"--";"--"
"CH-GK3";2;3;3;"--";"--"
"CH-GK2";1;2;2;"--";"--"
"CH-GK2";1;2;3;"--";"--"
"CH-GK2";1;3;2;"--";"--"
"CH-GK2";1;3;3;"--";"--"
"CH-GK2";1;4;2;"--";"--"
"CH-GK2";1;4;3;"--";"--"
"CH-GK2";3;1;2;"--";"--"
"CH-GK2";3;1;3;"--";"--"
"CH-GK2";3;2;2;"--";"--"
"CH-GK2";3;2;3;"--";"--"
"CH-GK2";5;6;2;"--";"--"
"CH-GK2";5;6;3;"--";"--"
"CH-GK1";2;7;2;"--";"--"
"CH-GK1";2;7;3;"--";"--"
"CH-GK1";3;4;2;"--";"--"
"CH-GK1";3;4;3;"--";"--"
"CH-GK1";3;5;2;"--";"--"
"CH-GK1";3;5;3;"--";"--"
"BI-GK4";4;3;2;"--";"--"
"BI-GK4";4;3;3;"--";"--"
"BI-GK4";4;4;2;"--";"--"
"BI-GK4";4;4;3;"--";"--"
"BI-GK4";5;7;2;"--";"--"
"BI-GK4";5;7;3;"--";"--"
"BI-GK3";1;6;2;"--";"--"
"BI-GK3";1;6;3;"--";"--"
"BI-GK3";3;2;2;"--";"--"
"BI-GK3";3;2;3;"--";"--"
"BI-GK3";3;3;2;"--";"--"
"BI-GK3";3;3;3;"--";"--"
"BI-GK2";4;3;2;"--";"--"
"BI-GK2";4;3;3;"--";"--"
"BI-GK2";4;4;2;"--";"--"
"BI-GK2";4;4;3;"--";"--"
"BI-GK2";5;7;2;"--";"--"
"BI-GK2";5;7;3;"--";"--"
"BI-GK1";1;9;2;"--";"--"
"BI-GK1";1;9;3;"--";"--"
"BI-GK1";3;6;2;"--";"--"
"BI-GK1";3;6;3;"--";"--"
"BI-GK1";3;7;2;"--";"--"
"BI-GK1";3;7;3;"--";"--"
"M-GK5";1;8;2;"--";"--"
"M-GK5";1;8;3;"--";"--"
"M-GK5";4;5;2;"--";"--"
"M-GK5";4;5;3;"--";"--"
"M-GK5";4;6;2;"--";"--"
"M-GK5";4;6;3;"--";"--"
"M-GK4";1;4;2;"--";"--"
"M-GK4";1;4;3;"--";"--"
"M-GK4";1;5;2;"--";"--"
"M-GK4";1;5;3;"--";"--"
"M-GK4";3;1;2;"--";"--"
"M-GK4";3;1;3;"--";"--"
"M-GK3";1;7;2;"--";"--"
"M-GK3";1;7;3;"--";"--"
"M-GK3";4;1;2;"--";"--"
"M-GK3";4;1;3;"--";"--"
"M-GK3";4;2;2;"--";"--"
"M-GK3";4;2;3;"--";"--"
"M-GK2";2;1;2;"--";"--"
"M-GK2";2;1;3;"--";"--"
"M-GK2";5;3;2;"--";"--"
"M-GK2";5;3;3;"--";"--"
"M-GK2";5;4;2;"--";"--"
