"Id";"Bezeichnung";"KopplungsId";"Stundenplan"
1;"Grundkurs 1";"";"100000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
2;"Grundkurs 2";"";"000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000"
3;"Grundkurs 3";"";"000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000"
4;"Grundkurs 4";"";"000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000"
5;"Grundkurs 5";"";"011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000"
6;"Grundkurs 6";"";"000110000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
7;"Grundkurs 7";"";"000001000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
8;"Grundkurs 8";"";"000000100000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000"
9;"Grundkurs 9";"";"000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000001000000000000000000000000000000000000000000000"
10;"Grundkurs 10";"";"000000000000000000000000000001000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
11;"Grundkurs 11";"";"000000010000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000"
12;"Grundkurs 12";"";"000000001000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
