"KursId";"Fach";"Name";"Lehrer";"Std";"Raum";"Kursart";"Schulnummer";"Schienenzahl";"Gesperrt";"Blocken";"ParallelKursZahl";"ParallelKursNr";"FixiertInSchiene"
-15;"SP";"SP-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;1;1;""
-14;"IF";"IF-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;1;1;""
-13;"CH";"CH-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;1;1;""
-12;"BI";"BI-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;1;1;""
-11;"M";"M-LK2";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;2;2;""
-10;"M";"M-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;2;1;""
-9;"PA";"PA-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;1;1;""
-8;"EK";"EK-LK2";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;2;2;""
-7;"EK";"EK-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;2;1;""
-6;"GE";"GE-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;1;1;""
-5;"KU";"KU-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;1;1;""
-4;"E";"E-LK2";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;2;2;""
-3;"E";"E-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;2;1;""
-2;"D";"D-LK2";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;2;2;""
-1;"D";"D-LK1";"--";5;"--";"LK";123456;1;"[2,3,4,5,6,7,8,9,10,11]";1;2;1;""
-63;"SP";"SP-GK5";"--";3;"--";"GK";123456;1;"[]";1;5;5;""
-62;"SP";"SP-GK4";"--";3;"--";"GK";123456;1;"[]";1;5;4;""
-61;"SP";"SP-GK3";"--";3;"--";"GK";123456;1;"[]";1;5;3;""
-60;"SP";"SP-GK2";"--";3;"--";"GK";123456;1;"[]";1;5;2;""
-59;"SP";"SP-GK1";"--";3;"--";"GK";123456;1;"[]";1;5;1;""
-58;"KR";"KR-GK2";"--";3;"--";"GK";123456;1;"[]";1;2;2;""
-57;"KR";"KR-GK1";"--";3;"--";"GK";123456;1;"[]";1;2;1;""
-56;"ER";"ER-GK2";"--";3;"--";"GK";123456;1;"[]";1;2;2;""
-55;"ER";"ER-GK1";"--";3;"--";"GK";123456;1;"[]";1;2;1;""
-54;"IF";"IF-GK1";"--";3;"--";"GK";123456;1;"[]";1;1;1;""
-53;"PH";"PH-GK2";"--";3;"--";"GK";123456;1;"[]";1;2;2;""
-52;"PH";"PH-GK1";"--";3;"--";"GK";123456;1;"[]";1;2;1;""
-51;"CH";"CH-GK2";"--";3;"--";"GK";123456;1;"[]";1;2;2;""
